best_value,firstgen_with_best_value,population_gen_type,problem_type,convergence_array,problem_number
24854.0,19,2,knapsack,"[17182.0, 17930.0, 18660.0, 19540.0, 20423.0, 21451.0, 21609.0, 22402.0, 22967.0, 23280.0, 23932.0, 24133.0, 24441.0, 24600.0, 24725.0, 24789.0, 24825.0, 24848.0, 24851.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0, 24854.0]",2
39410.0,30,1,knapsack,"[23508.0, 24706.0, 25563.0, 27233.0, 27878.0, 28959.0, 29924.0, 30992.0, 31870.0, 32443.0, 33103.0, 34081.0, 34547.0, 34937.0, 35638.0, 36044.0, 36868.0, 37627.0, 37760.0, 38083.0, 38472.0, 38664.0, 38978.0, 39069.0, 39300.0, 39301.0, 39366.0, 39394.0, 39409.0, 39409.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0, 39410.0]",4
32396.0,24,2,knapsack,"[22147.0, 23671.0, 23725.0, 25001.0, 25374.0, 26772.0, 27047.0, 27634.0, 28178.0, 29012.0, 29666.0, 30159.0, 30540.0, 31006.0, 31332.0, 31561.0, 31787.0, 32113.0, 32157.0, 32219.0, 32319.0, 32367.0, 32390.0, 32391.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0, 32396.0]",3
39362.0,29,0,knapsack,"[23202.0, 25097.0, 25408.0, 26217.0, 27734.0, 29032.0, 30072.0, 30398.0, 31420.0, 32740.0, 33964.0, 34487.0, 35021.0, 35398.0, 36187.0, 36710.0, 37106.0, 37697.0, 38269.0, 38413.0, 38583.0, 38922.0, 39038.0, 39174.0, 39223.0, 39283.0, 39332.0, 39356.0, 39360.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0, 39362.0]",4
39415.0,25,2,knapsack,"[27689.0, 27615.0, 28834.0, 30215.0, 31168.0, 31754.0, 32848.0, 33312.0, 34293.0, 35115.0, 35810.0, 36242.0, 37029.0, 37429.0, 37737.0, 38046.0, 38525.0, 38789.0, 38917.0, 39159.0, 39208.0, 39282.0, 39358.0, 39378.0, 39403.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0, 39415.0]",4
45135.0,31,1,knapsack,"[27400.0, 27840.0, 29061.0, 31169.0, 31322.0, 32490.0, 34220.0, 35706.0, 35777.0, 36343.0, 37263.0, 38338.0, 39326.0, 39596.0, 40577.0, 41399.0, 41909.0, 42349.0, 42793.0, 43227.0, 43646.0, 43966.0, 44249.0, 44406.0, 44595.0, 44728.0, 44925.0, 45011.0, 45025.0, 45090.0, 45119.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0, 45135.0]",5
44535.0,32,0,knapsack,"[27244.0, 28188.0, 29546.0, 30089.0, 31555.0, 32533.0, 34105.0, 34592.0, 35369.0, 36345.0, 37159.0, 37859.0, 38729.0, 39375.0, 40036.0, 40670.0, 41523.0, 41976.0, 42324.0, 42683.0, 43191.0, 43584.0, 43649.0, 43851.0, 44067.0, 44231.0, 44262.0, 44338.0, 44405.0, 44476.0, 44498.0, 44530.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0, 44535.0]",5
45439.0,29,2,knapsack,"[30885.0, 30976.0, 33417.0, 33236.0, 34104.0, 35457.0, 36559.0, 37871.0, 38456.0, 39183.0, 39968.0, 41247.0, 41240.0, 42252.0, 42507.0, 42944.0, 43645.0, 43953.0, 44259.0, 44417.0, 44629.0, 44831.0, 45096.0, 45155.0, 45261.0, 45336.0, 45369.0, 45433.0, 45435.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0, 45439.0]",5
54611.0,35,1,knapsack,"[32041.0, 34212.0, 34738.0, 36424.0, 37840.0, 38257.0, 40065.0, 41049.0, 42180.0, 42815.0, 44212.0, 44964.0, 46138.0, 46833.0, 47953.0, 48616.0, 49087.0, 50136.0, 50681.0, 51214.0, 51892.0, 52214.0, 52626.0, 53013.0, 53299.0, 53671.0, 53997.0, 54129.0, 54375.0, 54457.0, 54466.0, 54545.0, 54590.0, 54603.0, 54608.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0, 54611.0]",6
54222.0,34,0,knapsack,"[32478.0, 33655.0, 35693.0, 36353.0, 37645.0, 40677.0, 40348.0, 41801.0, 43363.0, 43427.0, 44415.0, 45638.0, 46319.0, 48394.0, 48224.0, 49119.0, 49567.0, 50187.0, 50996.0, 51335.0, 52326.0, 52430.0, 52789.0, 53135.0, 53495.0, 53691.0, 53784.0, 53958.0, 54055.0, 54125.0, 54166.0, 54211.0, 54207.0, 54219.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0, 54222.0]",6
