best_value,firstgen_with_best_value,population_gen_type,problem_type,convergence_array,problem_number
3979,7,0,knapsack,"[3354, 3488, 3643, 3818, 3931, 3972, 3976, 3979, 3976, 3976, 3976, 3976, 3976, 3976, 3976, 3976, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972, 3972]",2
4125,5,2,knapsack,"[3629, 3819, 3954, 4045, 4111, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4123, 4123, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125, 4125]",4
4129,6,1,knapsack,"[3396, 3688, 3701, 3942, 4084, 4102, 4129, 4125, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4123, 4123, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4129, 4123, 4129, 4123, 4129, 4129, 4123, 4129, 4129, 4123, 4129, 4129, 4129, 4123, 4129, 4129, 4123, 4129, 4129, 4129, 4123, 4123, 4123, 4123, 4123, 4129, 4129, 4129, 4123, 4123, 4123, 4123, 4129, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123]",4
3963,6,0,knapsack,"[3221, 3623, 3762, 3861, 3928, 3942, 3963, 3963, 3963, 3953, 3963, 3953, 3963, 3963, 3963, 3963, 3963, 3953, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3953, 3953, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3963, 3950, 3953, 3963, 3950, 3953, 3950, 3950, 3953, 3963, 3963, 3963, 3963, 3963, 3963, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950, 3950]",3
3376,11,2,knapsack,"[3101, 3183, 3291, 3356, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3375, 3376, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3375, 3375, 3376, 3376, 3375, 3376, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3375, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3376, 3375]",5
3379,7,1,knapsack,"[3008, 3018, 3173, 3291, 3338, 3367, 3375, 3379, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3373, 3375, 3373, 3375, 3375, 3373, 3373, 3375, 3373, 3375, 3373, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3373, 3375, 3375, 3373, 3375, 3375, 3375, 3375, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3375, 3375, 3375, 3373, 3373, 3375, 3373, 3375, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3373, 3375]",5
4129,6,0,knapsack,"[3392, 3595, 3877, 3939, 4021, 4113, 4129, 4129, 4129, 4129, 4129, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4122, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4122, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123, 4123]",4
3772,5,2,knapsack,"[3397, 3524, 3686, 3715, 3764, 3772, 3772, 3772, 3768, 3768, 3763, 3763, 3763, 3763, 3768, 3768, 3763, 3768, 3768, 3768, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757, 3757]",6
3767,5,1,knapsack,"[3323, 3403, 3647, 3648, 3758, 3767, 3767, 3767, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3758, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3758, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763, 3763]",6
3379,7,0,knapsack,"[2986, 3111, 3165, 3265, 3312, 3369, 3371, 3379, 3374, 3374, 3375, 3375, 3375, 3375, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374]",5
3868,6,1,knapsack,"[3310, 3430, 3663, 3762, 3826, 3843, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868]",7
